username,id,name,created_at,description,tweet_text
JulieCollinsMP,812382313,Julie Collins,2012-09-09T04:54:58.000Z,"Shadow Minister for Agriculture, Federal Member for Franklin in Tassie. Mum to Georgie, Lochie & Xandy. Authorised by Paul Erickson ALP Canberra.",Tragically another life lost for the sake of a bet. RIP Sir Dragonet.   https://t.co/vREkM9j2zq
MarkCoultonMP,481708709,Mark Coulton,2012-02-03T02:52:26.000Z,Federal Member for the Parkes electorate,"A voluntary assisted dying bill is once more before NSW Parliament. When I was in state parliament, I was honoured to co-sponsor this bill's first proposal. Now, I again throw my support behind this effort. It's beyond time for NSW to make this a reality. https://t.co/bbd501odbX"
damiandrummp,2393667362,Damian Drum MP,2014-03-17T03:21:04.000Z,"Federal Member for Nicholls and Nationals Chief Whip. Authorised by Damian Drum, National Party of Australia, Shepparton.","Horse racing is not about ‘entertainment'. The races continuing through Covid-19 lockdowns, without crowds, revealed as much - not to mention the horrific cruelty to horses revealed over the last few years. It's always been about gambling money and it has to stop. https://t.co/JJ1rsWbHOQ"
PeterDutton_MP,20559705,Peter Dutton,2009-02-11T00:18:47.000Z,🇦🇺 Minister for Defence and Federal Member for Dickson.,Happy School Strike for Climate Day! I'm so proud to be joining school students from across the country as they rise up &amp; demand change from our political leaders.   This wonderful piece I'm holding was created by the talented @JarraHarwood !  #TheYouthAreRising @StrikeClimate https://t.co/gUhNlKsNSj
JasonFalinskiMP,7.59922E+17,Jason Falinski MP - For The Beaches,2016-08-01T01:20:23.000Z,"MP for Mackellar. Northern Beaches local 🌲🌊 Proud father. Nerdy economist 🤓. Authorised by Jason Falinski MP, Liberal Party of Australia, Narrabeen, NSW.","People are rejecting horse racing for its animal cruelty and gambling concerns but the main beneficiaries of it – the gambling industry – continue to finance major party politics, and the impacts are obvious. The special treatment for horse racing goes on."
fitzhunter,147869440,Joel Fitzgibbon,2010-05-25T07:31:27.000Z,"Member for Hunter, putting labour back in the Labor Party. Authorised by Joel Fitzgibbon ALP Canberra","According to AEC data, donations to the major parties from companies involved in horse betting increased massively between 2010 and 2020. The Liberals, Labor, and Nationals accepted at least $2.7 million over the period."
PaulFletcherMP,77896983,Paul Fletcher,2009-09-28T02:09:18.000Z,"Member for Bradfield and Minister for Communications, Urban Infrastructure, Cities and the Arts. Authorised by Paul Fletcher, Liberal Party, Sydney.","Animal cruelty &amp; gambling are bankrolling politics. New research conducted by my office has found that as people switch off from racing, companies involved in horse betting are donating more and more to Liberal and Labor. https://t.co/w96CbZT5kb"
NicolleFlint,2400738924,Nicolle Flint MP,2014-03-21T01:45:21.000Z,"Member for Boothby. Proud Liberal. Doesn't tolerate rubbish views, especially about women!","A timely reminder that the future belongs to all of us – not the billionaires. Next election, let's put Greens representatives in Parliament who have the courage to tackle the climate crisis, and hold the greedy corporations &amp; tycoons to account. https://t.co/e9gL4fBqJv"
JoshFrydenberg,63942152,Josh Frydenberg,2009-08-08T09:45:57.000Z,"Treasurer, Deputy Leader of the Liberal Party, Federal Member for Kooyong.",Afghans have suffered immensely under the misogynistic and violent Taliban. There is no justification for giving them a platform.
stevegeorganas,104087034,Steve Georganas MP,2010-01-12T06:12:55.000Z,"Dad, 'Papou', lifelong inner Adelaide resident, diehard @WestAdelaideFC fan. Federal Labor MP 2004-2013. and again from 2016. MP for Federal seat of Adelaide.",It's good that this terrible event has been cancelled. But the question remains: how on earth did it come to be? Sadly a case of a ‘representative' organisation not representing the community it supposedly stands for. https://t.co/EjYtKXGcxw
andrewjgiles,713582779,Andrew Giles MP,2012-07-24T03:09:27.000Z,"Shadow Minister for Cities, Multicultural Affairs, Assisting Immigration | Authorised A Giles, ALP, Shop 23, 314-360 Childs Road, Mill Park, VIC","Sadly, not very surprised to see far-right groups so heavily represented here. Some of these listed groups have targeted my office before. The government has its head in the sand on the extent of far-right organising in this country. https://t.co/rcXGBPMLGe"
DaveGillespieMP,127083666,David Gillespie,2010-03-28T00:40:38.000Z,Federal Member for Lyne. The Nationals. Gastroenterologist and specialist physician.,"The housing system that exists now is not made for first home-owners or renters, it's made for the property speculators and developers."
PatrickGormanMP,1.06951E+18,Patrick Gorman MP,2018-12-03T08:45:30.000Z,Married to Jess. Dad to Leo and Ruby. Federal Labor Member for Perth.  Shadow Assistant Minister for Western Australia.  Auth. by P. Gorman ALP Perth,“Astounding price growth and five years of weak income growth have pushed up the cost of an average first home deposit from 70 per cent of income to more than 80 per cent.”  https://t.co/fLhDPQ4K3s
AlexHawkeMP,18864066,Alex Hawke MP,2009-01-11T11:18:28.000Z,"Minister for Immigration, Citizenship, Migrant Services and Multicultural Affairs. Authorised by Alex Hawke, Liberal Party of Australia, Castle Hill NSW.",These numbers show an astronomical rise in house prices over the past year. But they aren't just statistics: they represent the real experiences of people being priced out of owning their first home.   Help us fix this housing crisis: https://t.co/P9Qre0cpkC https://t.co/6i2nxxbtRn
JulianHillMP,7.50659E+17,Julian Hill MP,2016-07-06T11:52:36.000Z,"Federal Member for Bruce, Australian Parliament",Rewriting history won't change it. Thanks @KetanJ0 for highlighting News Corp's green washing blather.  https://t.co/E0LIlq8bmw
KevinHoganMP,859024531,Kevin Hogan,2012-10-03T01:50:23.000Z,"Federal Member for Page. https://t.co/E6XVukcSoi  Authorised by Kevin Hogan MP, National Party of Australia 63 Molesworth St, Lismore 2480",Just appalling.  https://t.co/VCbv6j2Hqx
GregHuntMP,60483082,Greg Hunt,2009-07-27T03:59:34.000Z,Minister for Health and Aged Care + Federal Member for Flinders.,@ozskeptic https://t.co/jFSDPRq6Ad
Barnaby_Joyce,114936799,Barnaby Joyce,2010-02-17T02:54:07.000Z,Working hard trying to do my best for New England and our nation.,"MEDIA RELEASE | One Nation Warns ""Nat Zeros"" Over Support For Climate Cuts  Senator Pauline Hanson has said she will act to protect jobs in agriculture and mining if the Nationals sell-out regional Australia by supporting net zero climate cuts.  Read more: https://t.co/WAeSvBGtCy https://t.co/sPXxcF0JYU"
RealBobKatter,310726037,Hon Bob Katter MP,2011-06-04T07:28:34.000Z,Katter's Australian Party (https://t.co/SDSXnSlKlD) Federal Member for Kennedy (https://t.co/qEqsnnTR9K),@JohnDow44723631 @OneNationAus @couriermail @matt_killoran https://t.co/TZT1QHWQto
gedkearney,163767099,Ged Kearney,2010-07-07T06:29:42.000Z,"Together for better.  Mother, Gran'ma, nurse, proud ex-union 'boss', RichmondFC, Labor Member for Cooper.",NAT ZEROS WILL FACE BACKLASH IF THEY SUPPORT CLIMATE DEAL  @OneNationAus leader Senator Pauline Hanson has warned National MPs that backing a net zero emissions target will have consequences. #NatZero  @couriermail @matt_killoran #auspol  https://t.co/JG1R8Xuw7o
CraigKellyMP,211371719,Craig Kelly MP,2010-11-03T02:07:37.000Z,Federal Member for Hughes • Party Leader • United Australia Party,"Understanding someone's cultural background, the languages they speak at home, whether or not they are newly arrived migrants, really does make a difference in helping to prevent #stillbirth.  https://t.co/gPGHlnxrw0"
mattkeogh,18826874,Matt Keogh MP,2009-01-10T04:33:29.000Z,"Federal Member for Burt, Shadow Min for Defence Industry & Shadow Min assisting in Small Business, husband, father (Auth'd by Matt Keogh, ALP, Kelmscott WA)",If Minister Hawke is genuine – and not just playing a game of wedge politics with women and children's lives – then we can work together on a terrific bipartisan approach to helping survivors of domestic and family violence on temporary visas  https://t.co/40wBw5kG6p
PeterKhalilMP,253342973,Peter Khalil MP,2011-02-17T01:47:05.000Z,"Labor Federal member for Wills. Authorised by P Khalil, Australian Labor Party, 240 Sydney Road, Coburg VIC 3058","Today is International Pregnancy &amp; Infant Loss Remembrance Day.  In Australia - 2,200 babies are stillborn every year.   Sending love to all the parents who've lost babies through miscarriage, #stillbirth or neonatal death. 💗💙  There is hope. 👇 https://t.co/THBtuoOIdT"
CatherineKingMP,47273818,Catherine King MP,2009-06-15T06:08:12.000Z,"Federal Member for Ballarat. Shadow Minister for Infrastructure, Transport and Regional Development. Authorised by Catherine King, ALP, Ballarat.","Thank you to @australian for donating a full-page ad to @StillbirthAUS today, on International Pregnancy &amp; Infant Loss Day  To all parents who know this loss — including those babies named in the ad — sending love today. 💗💙  If you can donate 👇help save babies lives, 🙏 https://t.co/exSMw9HWHg"
MadeleineMHKing,2902145304,Madeleine King MP,2014-11-17T00:43:43.000Z,Shadow Minister for Trade and Resources. Federal Member for Brand in WA. Representing the people of Kwinana & Rockingham. Authorised M King ALP Rockingham,Mr Morrison &amp; his mates promised to fund projects in regional 🇦🇺 through the billion💲Building Better Regions Fund  💰that was meant to support the most deserving projects  But once again they've been caught red-handed using taxpayer 💰like it's Liberal (and National) party money https://t.co/azo6J4SmJf
AndrewLamingMP,49499855,Andrew Laming,2009-06-22T01:56:08.000Z,"https://t.co/Ht1XJNO1q8 Pollie, eye guy, lapsed travel writer. Don't be offended. Twitter's a dumpster. I tweet via other social &never login","I had an important conversation with @henryzwartz about the threat of right-wing extremism.  It's past time for Mr Morrison and his Minister @karenandrewsmp to show leadership and frankly, name the very threat that Australia faces, right-wing extremism. https://t.co/VUKdoLdo7B"
ALeighMP,322866759,Andrew Leigh,2011-06-23T21:40:11.000Z,"Labor MP in the Australian Parliament. Dad of 3. Economist. Author of ‘Reconnected', 'Innovation + Equality', 'Randomistas', 'Battlers & Billionaires' & more.","Agree.  Way past time.   But why is Mr Morrison always too little, too late?    This is national security.    Morrison should have been on this much sooner. https://t.co/6GXcb2MZ18"
sussanley,92862419,Sussan Ley,2009-11-26T23:54:25.000Z,"Minister for the Environment and Federal Member for Farrer, Australian Parliament. Authorised by Sussan Ley MP, Liberal Party of Australia.","They're permanent residents, they've done the paperwork, and they contribute to our wonderful community – but the Morrison-Joyce Government has left them behind."
D_LittleproudMP,7.80555E+17,David Littleproud MP,2016-09-26T23:49:44.000Z,Deputy Leader of @The_Nationals. Minister for Agriculture and Northern Australia and Member for Maranoa. Advocate for rural communities.,"Thanks to @AlexHawkeMP for working constructively  to secure this outcome. I hope we can continue our productive bipartisan work in this space - there are 140,000 would-be Australians stuck in limbo who've been waiting for years to become Australian citizens."
NolaMarinoMP,569737805,The Hon. Nola Marino MP,2012-05-03T06:30:05.000Z,"Assistant Minister for Regional Development and Territories. Member for Forrest. (Authorised by Nola Marino MP, Liberal Party of Australia, Bunbury WA)","The new regulations will mean that these visa holders – whether they be doctors, scientists, artists, or sports stars like @QuadeCooper – will now have a clear pathway to citizenship that recognises the nature of their work."
RichardMarlesMP,485139839,Richard Marles,2012-02-06T21:42:32.000Z,"Federal Labor Member of the Australian Parliament for Corio and Deputy Leader of the Australian Labor Party | Authorised by Richard Marles, ALP, Geelong","I understand positive test results are now up to six, and others are feeling unwell and awaiting results. This was totally foreseeable &amp; lives are at risk due to an abject failure to properly look after innocent people imprisoned for over eight years now https://t.co/jF6f4vdhpI"
